Genus	MB22f4	MB22f5	MB22f7	MB22f8	MB23f1	MB23f5	MB23f7	MB24f1	MB24f2	MB24f3	MB24f4	MB25f3	MB25f5	MB26f1	MB26f2	MB26f3	MB26f4	MB26f5	MB26f6	MB26f7	MB26f8	MB26f9	MB27f1	MB27f2	MB27f3	MB27f5	MB29f2	MB29f3	MB29f4	MB29f5	MB29f6	MB29f8	MB30f1	MB30f2	MB30f3	MB30f4	MB30f5	MB30f6	MB31f1	MB31f2	MB31f3	MB31f4	MB31f5	MB32f1	MB32f2	MB32f3	MB32f4	MB32f6	MB33f1	MB33f2	MB33f3	MB33f4	MB33f5	MB33f6	MB33f7	MB33f8	MB34f1	MB34f2	MB34f3	MB34f5	MB34f6	MB34f7	MB35f1	MB35f2	MB35f3	MB35f5	MB35f6	MB36f1	MB36f2	MB37f2	MB37f3	MB37f4	MB37f6	MB37f7	MB38f1	MB38f2	MB38f3	MB38f4	MB38f5
Acetobacter	0	0	0	0	0	0	0	0	0	0	0	3.346536	2.274254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	6.435494	17.308757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.132427	7.894993	8.025546	0	1.615778	0	5.961725	3.908835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia	0	0	0	0	0	0	0	0	0	8.464796	8.725868	20.432307	4.727706	0	0	0	0	0	0	0	0	0	2.415003	0	0	0	0	0	0	0	0	0	13.587540	0	0	1.868301	0	12.561411	0	0	0	0	0	0	0	0	0	0	4.140620	0	0	0	0	0	0	20.207355	0	0	0	0	0	0	3.058539	18.323986	0	0	0	0	3.870602	0	0	0	0	0	0	0	0	0	0
Alistipes	4.096707	13.165791	117.520563	49.035426	0	0	0	34.930903	57.922089	208.882608	149.725363	91.875369	53.194571	176.437082	157.250467	514.094269	63.994760	590.855304	91.936569	232.333283	859.763303	267.349365	46.969222	26.381760	67.626706	6.780716	9.799726	70.891553	96.709713	18.805920	14.346559	29.829043	85.532954	79.517409	50.139136	17.607622	9.696032	129.066576	154.588204	143.277956	164.194560	16.659857	30.414549	453.103474	505.350319	189.224861	1365.639521	454.127789	216.678558	445.396377	514.159335	116.521970	254.897260	74.665205	295.870946	281.996766	37.596708	154.832214	475.230897	33.418028	18.156883	65.979370	88.103619	205.582770	49.708572	15.601552	55.922605	62.917151	167.430470	85.297033	54.356592	159.540802	20.209616	49.994103	25.509947	31.993114	39.049958	31.038455	14.340113
Anaerobutyricum	3.271084	24.222979	44.927910	15.736766	0	0	0	0	0	0	5.827045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.665287	5.085321	0	0	3.062135	0	0	0	0	0	0	0	0	0	0	0	0	0	2.220724	7.795220	0	4.798639	3.210532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.593462	0	0	0	0	0	0	0	0	1.877438	1.708692	0	0	13.972496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.696081	16.949395	15.564806	0	0	0	0	0	0	0	0	3.127656	4.595873	0	5.444836	0	11.530609	20.431864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides	0	0	2.065142	0	0	0	0	18.454527	84.737809	356.544061	221.405757	1.821128	0	32.653501	31.709303	100.908139	13.799381	93.268548	25.771252	110.841128	284.100279	89.103945	8.977387	6.295132	10.680220	7.164244	0	39.123353	56.982030	2.981855	0	0	215.248888	99.180502	46.888496	18.791342	34.945797	123.249562	766.061110	457.327558	655.519135	99.529598	471.268665	123.680621	181.584825	112.244246	595.462873	193.277037	98.962561	122.819710	141.459740	51.913423	92.171821	7.417935	77.122552	72.008636	28.354288	75.669132	152.135161	2.181754	0	6.437956	84.878576	149.030383	35.406051	23.640862	42.136102	23.899414	30.354205	86.143404	45.949331	87.404366	15.898752	40.873230	38.568907	114.628201	79.607717	68.729243	44.396017
Bifidobacterium	0	0	5.779181	2.963227	0	0	0	0	0	1.715093	3.239701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.479491	0	0	0	0	0	0	0	0	0	2.392920	12.382969	370.851824	859.042128	78.982300	8.676481	1.742904	0	0	2.403110	0	0	2.008094	0	0	4.966979	0	3.721912	6.871766	0	0	0	0	0	0	0	2.393371	0	0	1.994037	0	0	0	0	0	0	3.679879	3.476038	2.365837	15.468253	2.085372	0
Bilophila	0	0	0	0	0	0	0	0	0	0	0	0	0	4.349594	6.608088	26.890269	0	35.030303	1.811978	12.790229	57.075312	15.532915	0	0	0	0	0	1.794253	1.285680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.199377	6.390891	2.560780	5.706586	3.586501	0	11.777785	12.073241	0	0	0	0	0	0	2.123196	7.716882	0	0	0	3.782665	8.721259	0	0	0	1.779650	4.164661	16.033606	6.236941	23.555126	0	0	0	0	0	0	0
Blastocystis	0	0	0	0	0	0	0	9.455119	7.334157	14.269192	9.383475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia	0	0	1.765447	0	0	0	0	0	0	0	0	0	0	0	0	3.311630	0	2.613606	0	0	10.265369	0	0	10.486272	4.690934	0	0	0	7.207739	2.426147	0	0	0	0	0	2.113714	7.879965	49.682664	8.651527	0	2.629261	0	0	7.536870	0	0	7.384599	2.040388	0	0	0	0	2.006511	0	0	0	0	6.287148	12.330205	0	0	3.592440	0	0	0	0	0	9.216961	17.344090	0	0	0	0	0	0	0	0	0	0
Butyricicoccus	0	0	0	0	0	0	0	0	0	0	0	5.925243	3.573482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.099695	5.170206	3.490282	3.865920	0	0	0	0	0	0	0	0	0	0	0	0	0	3.096187	3.311439	0	0	0	0	0	0	0	2.843133	0	0	0	2.770538	4.163102	0	0	0	0	0	0	0	0	0	0
Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.707224	0	0	0	0	0	9.210213	8.898108	4.331517	34.434130	12.589302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusAmulumruptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.103256	0	1.715947	0	0	0	2.697969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusAvimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.551336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.863226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusBorkfalkia*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.326453	0	0	0	0	0	2.256362	0	1.767389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.760621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
